tmdb_movie_id,tmdb_director_id,movie_title
466272,138,Once Upon a Time... in Hollywood
78,578,Blade Runner
198663,1179066,The Maze Runner
87428,74619,That's My Boy
286217,578,The Martian
207,2690,Dead Poets Society
68721,1108,Iron Man 3
679,2710,Aliens
823464,98631,Godzilla x Kong: The New Empire
7485,20907,Shooter
653346,1179066,Kingdom of the Planet of the Apes
945961,932248,Alien: Romulus
694,240,The Shining
152601,5953,Her
4348,36588,Pride & Prejudice
1208348,1264682,Rental Family
138843,2127,The Conjuring
1198984,1323509,We Bury the Dead
30584,106565,Sword of the Valiant: The Legend of Sir Gawain and the Green Knight
345,240,Eyes Wide Shut
77,525,Memento
10184,29009,He's Just Not That Into You
92645,110876,Grimm's Snow White
25319,102429,The Masque of the Red Death
2062,7087,Ratatouille
20352,124748,Despicable Me
20352,124747,Despicable Me
4256,12987,Scary Movie 3
1160360,935669,If I Had Legs I'd Kick You
11324,1032,Shutter Island
714,1724,Tomorrow Never Dies
68726,10828,Pacific Rim
313369,136495,La La Land
1241436,3608245,Warfare
1241436,2036,Warfare
150689,11181,Cinderella
845781,51851,Red One
38365,17494,Grown Ups
639720,17697,IF
297802,2127,Aquaman
301528,84496,Toy Story 4
354287,114334,War Machine
976573,21198,Elemental
744,893,Top Gun
1124,525,The Prestige
55547,222583,Route 666
12153,35689,White Chicks
603692,40644,John Wick: Chapter 4
652,5231,Troy
558449,578,Gladiator II
1100988,2034,28 Years Later
792307,122423,Poor Things
1433842,1214860,Relationship Goals
135397,930707,Jurassic World
11259,6159,Far and Away
4257,12987,Scary Movie 4
6278,12523,Reign of Fire
28,1776,Apocalypse Now
420817,956,Aladdin
315162,1450348,Puss in Boots: The Last Wish
436969,15218,The Suicide Squad
9429,58316,A Night at the Roxbury
242582,57113,Nightcrawler
74,488,War of the Worlds
170,2034,28 Days Later
103,1032,Taxi Driver
1930,87742,The Amazing Spider-Man
11688,61411,The Emperor's New Groove
11087,323,The Hand That Rocks the Cradle
9806,7087,The Incredibles
24,138,Kill Bill: Vol. 1
578,488,Jaws
102651,1032536,Maleficent
168259,2127,Furious 7
13600,57193,City of Ember
929590,2036,Civil War
2288,5342,Closer
315837,228134,Ghost in the Shell
9779,29009,The Sisterhood of the Traveling Pants
1813,18596,The Devil's Advocate
1294203,2442185,My Fault: London
1294203,2442184,My Fault: London
296096,1096867,Me Before You
718930,40684,Bullet Train
10193,8,Toy Story 3
10674,66190,Mulan
10674,66191,Mulan
562,1090,Die Hard
284054,1056121,Black Panther
13494,69593,Red Sonja
1288072,90609,Keeper
507086,930707,Jurassic World Dominion
740985,147113,Borat Subsequent Moviefilm
573435,1399841,Bad Boys: Ride or Die
573435,1399842,Bad Boys: Ride or Die
791373,15217,Zack Snyder's Justice League
1319895,96040,Hostile Takeover
505642,1056121,Black Panther: Wakanda Forever
12144,40345,The Land Before Time
140607,15344,Star Wars: The Force Awakens
1090,15361,The Thirteenth Floor
11249,65677,Seed of Chucky
72190,12995,World War Z
1022796,2375591,Wish
1022796,15774,Wish
137113,11694,Edge of Tomorrow
1422,1032,The Departed
792,1152,Platoon
24003,68,Clash by Night
9373,29922,The Texas Chainsaw Massacre
453395,7623,Doctor Strange in the Multiverse of Madness
4488,35475,Friday the 13th
9552,15175,The Exorcist
953,18863,Madagascar
953,18864,Madagascar
539972,556172,Kraven the Hunter
11699,6818,Bad Lieutenant: Port of Call New Orleans
463821,16847,The House with a Clock in Its Walls
12106,7623,The Quick and the Dead
703754,1665174,Eric Andre: Legalize Everything
474350,1113116,It Chapter Two
1376434,568322,Predator: Killer of Killers
59,224,A History of Violence
9502,57741,Kung Fu Panda
9502,57742,Kung Fu Panda
882569,956,Guy Ritchie's The Covenant
124905,129894,Godzilla
1116201,1494060,Iron Lung
497698,93286,Black Widow
936108,12098,Smurfs
588,8296,Silent Hill
1429520,2681771,Sidelined 2: Intercepted
214756,52139,Ted 2
696506,21684,Mickey 17
335983,91268,Venom
812,15810,Aladdin
812,15811,Aladdin
281957,223,The Revenant
483,5602,Wild at Heart
337404,50767,Cruella
8408,14999,Day of the Dead
384018,40684,Fast & Furious Presents: Hobbs & Shaw
379170,152111,Sherlock: The Abominable Bride
698687,84496,Transformers One
9769,7270,Lolita
460458,100734,Resident Evil: Welcome to Raccoon City
1633,18250,Fried Green Tomatoes
225886,51851,Sex Tape
8698,10808,The League of Extraordinary Gentlemen
11892,23393,Murder by Numbers
1127110,118369,Diablo
76493,6767,The Dictator
1235746,93223,Dead of Winter
11395,58072,The Santa Clause
426063,138781,Nosferatu
428886,1182439,England Is Mine
10191,66193,How to Train Your Dragon
10191,69797,How to Train Your Dragon
1033148,83287,Die My Love
118,510,Charlie and the Chocolate Factory
15613,27146,Fire in the Sky
6977,1223,No Country for Old Men
6977,1224,No Country for Old Men
507241,131532,The Killer's Game
146233,137427,Prisoners
27578,16483,The Expendables
10587,65688,Police Academy 4: Citizens on Patrol
1197137,55499,Black Phone 2
1309012,66212,Altered
359410,11694,Road House
10625,54050,Mean Girls
273477,54248,Scouts Guide to the Zombie Apocalypse
46195,5714,Rio
242,1776,The Godfather Part III
777443,19272,The Electric State
777443,19271,The Electric State
383498,40684,Deadpool 2
41233,54507,Step Up 3D
2251,7270,Unfaithful
624860,9340,The Matrix Resurrections
10173,56998,Marked for Death
1206008,3388,Ella McCay
263115,366,Logan
974576,221522,Conclave
169917,2199,A Walk Among the Tombstones
260513,7087,Incredibles 2
508947,2009739,Turning Red
539,2636,Psycho
632727,1981891,Texas Chainsaw Massacre
748230,1338249,Salem's Lot
2105,3289,American Pie
381288,11614,Split
746036,40684,The Fall Guy
1366,16513,Rocky
131631,10943,The Hunger Games: Mockingjay - Part 1
205596,77965,The Imitation Game
1161617,1234970,Code 3
809,5524,Shrek 2
809,12079,Shrek 2
