tmdb_movie_id,tmdb_actor_id,movie_title,character,cast_order
1054867,1121,One Battle After Another,Sensei Sergio St. Carlos,3
1054867,35705,One Battle After Another,Deandra,4
1054867,964679,One Battle After Another,Perfidia,5
1054867,65829,One Battle After Another,Laredo,6
1054867,3417,One Battle After Another,Virgil Throckmorton,7
1054867,87956,One Battle After Another,Bill Desmond,8
1054867,239580,One Battle After Another,Sommerville,9
1306368,1892,The Rip,Lieutenant Dane Dumars,0
1306368,880,The Rip,Detective Sergeant J.D. Byrne,1
1306368,964679,The Rip,Detective Numa Baptistie,2
1306368,215055,The Rip,Detective Mike Ro,3
1306368,5887,The Rip,Detective Lolo Salazar,4
1306368,2542319,The Rip,Desiree 'Desi' Lopez Molina,5
1306368,3497,The Rip,DEA Agent Mateo 'Matty' Nix,6
1306368,78110,The Rip,FBI Agent Del Byrne,7
1306368,2271371,The Rip,FBI Agent Logan Casiano,8
1306368,21316,The Rip,Major Thom Vallejo,9
1171145,74568,Crime 101,Davis,0
1171145,103,Crime 101,Lou,1
1171145,4587,Crime 101,Sharon,2
1171145,1290466,Crime 101,Ormon,3
1171145,1525043,Crime 101,Maya,4
1171145,1733,Crime 101,Money,5
1171145,1154054,Crime 101,Tillman,6
1171145,10431,Crime 101,Angie,7
1171145,1561485,Crime 101,Ben Haddad,8
1171145,1362974,Crime 101,Ali,9
1167307,2507851,David,Young David (voice),0
1167307,1822256,David,Samuel (voice),1
1167307,2805492,David,Ozem (voice),2
1167307,1677363,David,Nethanel (voice),3
1167307,5981973,David,Jesse (voice),4
1167307,1259893,David,Nitzevet (voice),5
1167307,4271307,David,Abinadab (voice),6
1167307,5981987,David,Eliab (voice),7
1167307,5705674,David,Young Zeruiah (voice),8
1167307,3732705,David,Scout (voice),9
1062722,25072,Frankenstein,Victor Frankenstein,0
1062722,2034418,Frankenstein,The Creature,1
1062722,27319,Frankenstein,Harlander,2
1062722,1137824,Frankenstein,Elizabeth / Claire Frankenstein,3
1062722,3631223,Frankenstein,William Frankenstein,4
1062722,4391,Frankenstein,Leopold Frankenstein,5
1062722,11180,Frankenstein,Blind Man,6
1062722,71158,Frankenstein,Captain Anderson,7
1062722,1721268,Frankenstein,Young Victor Frankenstein,8
1062722,1018,Frankenstein,Chief Officer Larsen,9
1234731,70851,Anaconda,Doug McCallister,0
1234731,22226,Anaconda,Ronald Griffin Jr.,1
1234731,18324,Anaconda,Kenny Trent,2
1234731,9030,Anaconda,Claire Simons,3
1234731,1784612,Anaconda,Ana Almeida,4
1234731,87341,Anaconda,Santiago,5
1234731,9778,Anaconda,Ice Cube,6
1234731,3126,Anaconda,Malie,7
1234731,129685,Anaconda,João,8
1234731,21722,Anaconda,Jerry,9
1448560,3967,Wildcat,Ada,0
1448560,1610940,Wildcat,Roman,1
1448560,2506,Wildcat,Mrs. Christina Vine,2
1448560,4391,Wildcat,Frasier Mahoney,3
1448560,205725,Wildcat,Edward,4
1448560,1346325,Wildcat,Cia,5
1448560,1667354,Wildcat,Curtis,6
1448560,126457,Wildcat,Galloway,7
1448560,1226220,Wildcat,Lennie,8
1448560,2350471,Wildcat,Jody,9
457332,18897,Hidden Strike,Dragon Luo,0
457332,56446,Hidden Strike,Chris,1
457332,2082543,Hidden Strike,Mei,2
457332,137917,Hidden Strike,Professor Cheng,3
457332,2287421,Hidden Strike,Shen Wei,4
457332,1820070,Hidden Strike,Hai Ming,5
457332,1919588,Hidden Strike,Li Yan,6
457332,1844511,Hidden Strike,Assistant Ning,7
457332,90060,Hidden Strike,Paddock,8
457332,1477428,Hidden Strike,Henry,9
121872,18050,Ginger & Rosa,Ginger,0
121872,587823,Ginger & Rosa,Rosa,1
121872,110014,Ginger & Rosa,Natalie,2
121872,4941,Ginger & Rosa,Roland,3
121872,9191,Ginger & Rosa,Mark,4
121872,516,Ginger & Rosa,Bella,5
121872,57449,Ginger & Rosa,Anoushka,6
121872,17485,Ginger & Rosa,Mark Two,7
121872,95023,Ginger & Rosa,Roger,8
121872,172859,Ginger & Rosa,Demo Policeman,9
7451,12835,xXx,Xander Cage,0
7451,18514,xXx,Yelena,1
7451,20982,xXx,Yorgi,2
7451,2231,xXx,Agent Augustus Gibbons,3
7451,53347,xXx,Agent Toby Lee Shavers,4
7451,2341,xXx,Milan Sova,5
7451,39849,xXx,Kirill,6
7451,53348,xXx,Kolya,7
7451,137332,xXx,Viktor,8
7451,140250,xXx,Senator Dick Hotchkiss,9
425274,44735,Now You See Me: Now You Don't,J. Daniel Atlas,0
425274,3918497,Now You See Me: Now You Don't,Bosco,1
425274,1767250,Now You See Me: Now You Don't,June,2
425274,1029934,Now You See Me: Now You Don't,Charlie,3
425274,10882,Now You See Me: Now You Don't,Veronika Vanderberg,4
425274,57755,Now You See Me: Now You Don't,Merritt McKinney,5
425274,54697,Now You See Me: Now You Don't,Jack Wilder,6
425274,52848,Now You See Me: Now You Don't,Henley Reeves,7
425274,51988,Now You See Me: Now You Don't,Lula,8
425274,192,Now You See Me: Now You Don't,Thaddeus Bradley,9
1401778,225692,Turbulence,Zach,0
1401778,18182,Turbulence,Julia,1
1401778,7090,Turbulence,Harry,2
1401778,586286,Turbulence,Emmy,3
1401778,4689008,Turbulence,Eric,4
1401778,1840384,Turbulence,Walter,5
1401778,5803807,Turbulence,Employee,6
1401778,4568809,Turbulence,Employee,7
1401778,5803804,Turbulence,The Bartender,8
1401778,1795885,Turbulence,Swiss Police,9
803796,144279,KPop Demon Hunters,Rumi (voice),0
803796,1948606,KPop Demon Hunters,Mira (voice),1
803796,2983147,KPop Demon Hunters,Zoey (voice),2
803796,1571598,KPop Demon Hunters,Jinu (voice),3
803796,28662,KPop Demon Hunters,Celine (voice),4
803796,83586,KPop Demon Hunters,Bobby (voice),5
803796,25002,KPop Demon Hunters,Gwi-Ma (voice),6
803796,18307,KPop Demon Hunters,Healer Han / Additional Voices (voice),7
803796,2371545,KPop Demon Hunters,Variety Show Host 1 / Idol Host / Romance Saja (voice),8
803796,1700631,KPop Demon Hunters,Host (voice),9
10866,18324,Joy Ride,Fuller,0
10866,8167,Joy Ride,Lewis,1
10866,22290,Joy Ride,Venna,2
10866,67538,Joy Ride,Charlotte,3
10866,156011,Joy Ride,Danny (Lewis's Roommate),4
10866,16754,Joy Ride,Car Salesman,5
10866,154838,Joy Ride,Officer Keeney,6
10866,154996,Joy Ride,Salt Lake City Police Desk Clerk,7
10866,552465,Joy Ride,Asst. Salt Lake City Police Desk Clerk,8
10866,149526,Joy Ride,Gas Station Mechanic,9
1297842,1474123,GOAT,Will Harris (voice),0
1297842,17773,GOAT,Jett Fillmore (voice),1
1297842,1718307,GOAT,Lenny Williamson (voice),2
1297842,1763709,GOAT,Mane Attraction (voice),3
1297842,1267240,GOAT,Olivia Burke (voice),4
1297842,35029,GOAT,Archie Everhardt (voice),5
1297842,208519,GOAT,Modo Olachenko (voice),6
1297842,15899,GOAT,Flo Everson (voice),7
1297842,10872,GOAT,Dennis Cooper (voice),8
1297842,2974019,GOAT,Grizz (voice),9
1006462,27763,The Flood,Russell Cody,0
1006462,212833,The Flood,Sheriff Jo Newman,1
1006462,54649,The Flood,Rafe Calderon,2
1006462,2465152,The Flood,Eva Carter,3
1006462,145553,The Flood,Sommer Edward,4
1006462,1226119,The Flood,Jay Stamper,5
1006462,1602210,The Flood,'Big Jim' Pruett,6
1006462,3098427,The Flood,Jonathan 'Jox' Apone,7
1006462,84841,The Flood,Dale Elkins,8
1006462,2091809,The Flood,Floyd McGraw,9
1272837,5469,28 Years Later: The Bone Temple,Dr. Ian Kelson,0
1272837,85065,28 Years Later: The Bone Temple,Sir Lord Jimmy Crystal,1
1272837,5107934,28 Years Later: The Bone Temple,Spike / Jimmy,2
1272837,1672504,28 Years Later: The Bone Temple,Jimmy Ink,3
1272837,1344320,28 Years Later: The Bone Temple,Samson,4
1272837,2290611,28 Years Later: The Bone Temple,Jimmima,5
1272837,5512256,28 Years Later: The Bone Temple,Jimmy Fox,6
1272837,5518922,28 Years Later: The Bone Temple,Jimmy Shite,7
1272837,5514148,28 Years Later: The Bone Temple,Jimmy Jones,8
1272837,3916722,28 Years Later: The Bone Temple,Jimmy Snake,9
157336,10297,Interstellar,Cooper,0
157336,1813,Interstellar,Brand,1
157336,3895,Interstellar,Professor Brand,2
157336,83002,Interstellar,Murph,3
157336,1893,Interstellar,Tom,4
157336,8210,Interstellar,Doyle,5
157336,17052,Interstellar,Getty,6
157336,851784,Interstellar,Murph (10 Yrs.),7
157336,9560,Interstellar,Murph (older),8
157336,12074,Interstellar,Donald,9
126889,17288,Alien: Covenant,David / Walter,0
126889,77795,Alien: Covenant,Daniels,1
126889,8289,Alien: Covenant,Oram,2
126889,62862,Alien: Covenant,Tennessee,3
126889,76961,Alien: Covenant,Lope,4
126889,37158,Alien: Covenant,Karine,5
126889,181081,Alien: Covenant,Ricks,6
126889,1486488,Alien: Covenant,Upworth,7
126889,139150,Alien: Covenant,Faris,8
126889,37290,Alien: Covenant,Hallett,9
1069905,1461,Jay Kelly,Jay Kelly,0
1069905,19292,Jay Kelly,Ron Sukenick,1
1069905,4784,Jay Kelly,Liz,2
1069905,8289,Jay Kelly,Timothy,3
1069905,98522,Jay Kelly,Jessica Kelly,4
1069905,3078151,Jay Kelly,Daisy Kelly,5
1069905,825,Jay Kelly,Jay's Dad,6
1069905,388,Jay Kelly,Peter Schneider,7
1069905,17178,Jay Kelly,Ben Alcock,8
1069905,933271,Jay Kelly,Daphne,9
24428,3223,The Avengers,Tony Stark / Iron Man,0
24428,16828,The Avengers,Steve Rogers / Captain America,1
24428,103,The Avengers,Bruce Banner / The Hulk,2
24428,74568,The Avengers,Thor,3
24428,1245,The Avengers,Natasha Romanoff / Black Widow,4
24428,17604,The Avengers,Clint Barton / Hawkeye,5
24428,91606,The Avengers,Loki,6
24428,9048,The Avengers,Agent Phil Coulson,7
24428,71189,The Avengers,Agent Maria Hill,8
24428,1640,The Avengers,Selvig,9
1159831,1498158,The Bride!,Ida Bolinski / The Bride / Mary Shelley,0
1159831,3894,The Bride!,Frankenstein's Monster / 'Frank',1
1159831,133,The Bride!,Jake Wiles,2
1159831,516,The Bride!,Dr. Cornelia Euphronius,3
1159831,131,The Bride!,Ronnie Reed,4
1159831,955,The Bride!,Myrna Malloy,5
1159831,37154,The Bride!,Clyde,6
1159831,1232599,The Bride!,James,7
1159831,124377,The Bride!,Greta,8
1159831,31960,The Bride!,Lupino,9
278,504,The Shawshank Redemption,Andy Dufresne,0
278,192,The Shawshank Redemption,Ellis Boyd 'Red' Redding,1
278,4029,The Shawshank Redemption,Warden Norton,2
278,6573,The Shawshank Redemption,Heywood,3
278,6574,The Shawshank Redemption,Captain Byron T. Hadley,4
278,6575,The Shawshank Redemption,Tommy,5
278,6577,The Shawshank Redemption,Brooks Hatlen,6
278,6576,The Shawshank Redemption,Bogs Diamond,7
278,12645,The Shawshank Redemption,1946 D.A.,8
278,92119,The Shawshank Redemption,Skeet,9
238,3084,The Godfather,Don Vito Corleone,0
238,1158,The Godfather,Michael Corleone,1
238,3085,The Godfather,Sonny Corleone,2
238,3087,The Godfather,Tom Hagen,3
238,3086,The Godfather,Clemenza,4
238,3092,The Godfather,Kay Adams,5
238,3094,The Godfather,Connie Corleone Rizzi,6
238,3095,The Godfather,Carlo Rizzi,7
238,3088,The Godfather,Captain McCluskey,8
238,3142,The Godfather,Jack Woltz,9
4934,854,Firecreek,Johnny Cobb,0
4934,4958,Firecreek,Bob Larkin,1
4934,40056,Firecreek,Evelyn Pittman,2
4934,246,Firecreek,Earl,3
4934,29313,Firecreek,Whittier,4
4934,39816,Firecreek,Preacher Broyles,5
4934,3338,Firecreek,Mr. Pittman,6
4934,4965,Firecreek,Norman,7
4934,40185,Firecreek,Drew,8
4934,15950,Firecreek,Meli,9
615457,59410,Nobody,Hutch Mansell,0
615457,113332,Nobody,Yulian Kuznetsov,1
615457,935,Nobody,Becca Mansell,2
615457,1062,Nobody,David Mansell,3
615457,11086,Nobody,Eddie Williams,4
615457,5414,Nobody,The Barber,5
615457,150,Nobody,Harry Mansell,6
615457,63814,Nobody,Charlie Williams,7
615457,1959472,Nobody,Pavel,8
615457,119251,Nobody,Brady Mansell,9
911430,287,F1,Sonny Hayes,0
911430,1837297,F1,Joshua Pearce,1
911430,3810,F1,Ruben Cervantes,2
911430,62105,F1,Kate McKenna,3
911430,10920,F1,Peter Banning,4
911430,3398,F1,Kaspar Smolinski,5
911430,65447,F1,Bernadette,6
911430,1221073,F1,Nickleby,7
911430,1477143,F1,Fazio,8
911430,58431,F1,Dodge,9
10733,6065,The Alamo,Sam Houston,0
10733,879,The Alamo,Davy Crockett,1
10733,12261,The Alamo,James Bowie,2
10733,17178,The Alamo,William Travis,3
10733,263,The Alamo,Antonio Lopez de Santa Ana,4
10733,56679,The Alamo,Joe,5
10733,25933,The Alamo,Rosanna Travis,6
10733,31384,The Alamo,Juan Seguin,7
10733,15374,The Alamo,Sgt. William Ward,8
10733,46772,The Alamo,James Bonham,9
798645,83271,The Running Man,Ben Richards,0
798645,3905,The Running Man,Molie Jernigan,1
798645,72095,The Running Man,Evan McCone,2
798645,39995,The Running Man,Elton Perrakis,3
798645,1331023,The Running Man,Amelia Williams,4
798645,1339627,The Running Man,Bradley,5
798645,2455272,The Running Man,Sheila Richards,6
798645,52601,The Running Man,Gary Greenbacks,7
798645,2252989,The Running Man,Jenni Laughlin,8
798645,91671,The Running Man,Bobby T.,9
1363123,13240,The Family Plan 2,Dan Morgan,0
1363123,11705,The Family Plan 2,Jessica Morgan,1
1363123,239019,The Family Plan 2,Finn Clarke,2
1363123,1533987,The Family Plan 2,Nina Morgan,3
1363123,1818455,The Family Plan 2,Kyle Morgan,4
1363123,5740160,The Family Plan 2,Max Morgan,5
1363123,5740162,The Family Plan 2,Max Morgan,6
1363123,2938554,The Family Plan 2,Omar,7
1363123,32683,The Family Plan 2,Svetlana Romanova,8
1363123,145997,The Family Plan 2,Vikram,9
1196067,63,Worldbreaker,Mom,0
1196067,114019,Worldbreaker,Dad,1
1196067,2667928,Worldbreaker,Willa,2
1196067,956385,Worldbreaker,Soldier #1,3
1196067,3214361,Worldbreaker,Rosie,4
1196067,5287221,Worldbreaker,The Man,5
1196067,2412148,Worldbreaker,Kodiak,6
1196067,3623343,Worldbreaker,Evac Soldier,7
1196067,4896386,Worldbreaker,Evacuee,8
1196067,3744336,Worldbreaker,Infected Soldier,9
1248226,32895,Playdate,Brian,0
1248226,64295,Playdate,Jeff,1
1248226,49001,Playdate,Emily,2
1248226,52848,Playdate,Leslie,3
1248226,21088,Playdate,Simon Maddox,4
1248226,17401,Playdate,Gordon,5
1248226,3356007,Playdate,Lucas,6
1248226,4862542,Playdate,CJ,7
1248226,83445,Playdate,Clive,8
1248226,60719,Playdate,Colonel Kurtz,9
1078605,936970,Weapons,Justine,0
1078605,16851,Weapons,Archer,1
1078605,71375,Weapons,Paul,2
1078605,148992,Weapons,James,3
1078605,30082,Weapons,Marcus,4
1078605,23882,Weapons,Gladys,5
1078605,2407997,Weapons,Alex,6
1078605,18271,Weapons,Captain Ed,7
1078605,1105322,Weapons,Alex's Dad,8
1078605,2438324,Weapons,Alex's Mom,9
1439112,6383,Muzzle: City of Wolves,Jake Rosser,0
1439112,1139816,Muzzle: City of Wolves,Mia Rosser,1
1439112,209193,Muzzle: City of Wolves,Officer Beekman,2
1439112,1658759,Muzzle: City of Wolves,Detective Idalia Cutler,3
1439112,85780,Muzzle: City of Wolves,Officer Cobb,4
1439112,2603,Muzzle: City of Wolves,Detective Thorne,5
1439112,1187374,Muzzle: City of Wolves,Officer Brown,6
1439112,2669277,Muzzle: City of Wolves,Detective Spitzer,7
1439112,4771756,Muzzle: City of Wolves,Nurse Liz,8
1439112,5818558,Muzzle: City of Wolves,Tamara Beekman,9
628847,543530,Trap House,Ray Seale,0
628847,1895760,Trap House,Cody Seale,1
628847,1481238,Trap House,Deni Matthews,2
